Data Zone,Local Authority Code,Health domain 2012 rank,Health domain 2012 score1,"Standardised mortality ratio (ISD, 2007-2010) ","Comparative illness factor: standardised ratio (DWP, 2011)2","Hospital stays related to alcohol misuse: standardised ratio
(ISD, 2007-2010)","Hospital stays related to drug misuse: standardised ratio 
(ISD, 2007-2010)","Emergency stays in hospital: standardised ratio 
(ISD, 2007-2010)","Estimated proportion of population being prescribed drugs for anxiety, depression or psychosis 
(ISD, 2010)","Proportion of live singleton births of low birth weight
(ISD, 2006-2009)",,Notes
S01000370,110,"4,647",-0.52,50,50,52,28,87,0.07,0.03,,
S01000371,110,"4,343",-0.41,73,80,75,356,77,0.05,0,,
S01000372,110,"4,991",-0.66,130,85,63,0,67,0.05,0.05,,
S01000373,110,"6,455",-1.87,34,15,19,36,49,0.05,0.05,,
S01000374,110,"5,987",-1.20,77,30,30,0,63,0.05,0.06,,
S01000375,110,"3,251",-0.01,115,65,79,77,100,0.05,0.19,,
S01000376,110,"4,161",-0.34,58,70,98,123,86,0.05,0.03,,
S01000377,110,"6,486",-2.05,52,25,4,0,45,0.06,0.03,,
S01000378,110,"5,631",-0.96,25,30,52,86,73,0.05,0.06,,
S01000379,110,"6,429",-1.78,51,10,8,0,54,0.09,0.03,,
S01000380,110,"5,996",-1.21,40,30,56,0,61,0.07,0.12,,
S01000381,110,"5,711",-1.01,88,65,17,0,63,0.08,0.04,,
S01000382,110,"6,368",-1.63,66,40,28,0,48,0.05,0.04,,
S01000383,110,"4,549",-0.49,79,60,36,22,82,0.09,0.03,,
S01000384,110,"3,766",-0.21,85,65,51,33,95,0.08,0.04,,
S01000385,110,"3,906",-0.25,116,50,67,0,94,0.07,0.05,,
S01000386,110,"4,788",-0.58,80,55,54,24,76,0.08,0.02,,
S01000387,110,"5,459",-0.88,58,50,41,0,69,0.09,0.03,,
S01000388,110,"5,660",-0.98,90,50,40,0,62,0.07,0.06,,
S01000389,110,"4,843",-0.60,87,25,44,82,79,0.09,0.06,,
S01000390,110,"4,127",-0.33,97,90,63,0,82,0.08,0.07,,
S01000391,110,"4,059",-0.31,137,70,35,184,80,0.08,0,,
S01000392,110,"5,850",-1.11,66,20,25,0,69,0.09,0.02,,
S01000393,110,"3,873",-0.24,83,75,65,50,85,0.08,0.13,,
S01000394,110,"4,656",-0.53,65,50,66,0,83,0.08,0.05,,
S01000395,110,"6,366",-1.62,52,40,14,0,53,0.05,0.02,,
S01000396,110,"2,472",0.27,112,120,91,188,103,0.08,0.06,,
S01000397,110,"3,740",-0.20,111,90,21,0,100,0.08,0.05,,
S01000398,110,"5,872",-1.12,77,50,5,21,65,0.08,0.06,,
S01000399,110,"3,113",0.04,105,50,162,69,97,0.08,0.07,,
S01000400,110,"3,601",-0.14,100,60,105,151,86,0.08,0.05,,
S01000401,110,"6,448",-1.83,37,30,25,0,48,0.05,0,,
S01000402,110,"5,026",-0.67,83,55,33,197,70,0.08,0,,
S01000403,110,"4,947",-0.64,60,55,20,0,86,0.08,0.05,,
S01000404,110,"5,750",-1.04,85,35,4,0,74,0.08,0.08,,
S01000405,110,"6,434",-1.80,38,10,36,0,50,0.07,0.03,,
S01000406,110,"4,001",-0.28,60,50,74,38,91,0.08,0.16,,
S01000407,110,"2,293",0.34,111,55,116,386,115,0.08,0.13,,
S01000408,110,"6,132",-1.32,76,20,5,28,65,0.08,0.03,,
S01000409,110,"5,564",-0.93,85,30,32,0,70,0.08,0.03,,
S01000410,110,"5,925",-1.16,65,10,51,0,67,0.07,0.1,,
S01000411,110,"6,122",-1.30,51,25,29,0,62,0.07,0.03,,
S01000412,110,"6,203",-1.38,56,35,8,0,63,0.06,0.05,,
S01000413,110,"5,337",-0.81,57,45,19,34,77,0.07,0.04,,
S01000414,110,"5,341",-0.81,92,20,35,73,74,0.07,0.04,,
S01000415,110,"4,606",-0.51,86,50,25,69,84,0.06,0.13,,
S01000416,110,"5,508",-0.90,74,30,54,0,73,0.06,0,,
S01000417,110,"5,201",-0.75,73,55,31,22,72,0.08,0.02,,
S01000418,110,"5,516",-0.91,67,40,31,0,72,0.07,0.03,,
S01000419,110,"5,614",-0.96,66,65,6,17,72,0.07,0.04,,
S01000420,110,"5,015",-0.67,103,95,19,21,69,0.08,0.07,,
S01000421,110,"6,405",-1.73,41,25,20,0,51,0.06,0.03,,
S01000422,110,"4,527",-0.48,128,75,43,127,71,0.06,0.08,,
S01000423,110,"6,184",-1.36,65,25,29,23,56,0.08,0,,
S01000424,110,"4,833",-0.59,77,45,40,35,83,0.06,0,,
S01000425,110,"4,755",-0.57,64,70,36,39,80,0.06,0.06,,
S01000426,110,"5,623",-0.96,59,35,22,30,72,0.07,0,,
S01000427,110,"4,514",-0.47,98,35,76,32,82,0.07,0.03,,
S01000428,110,"5,633",-0.96,66,45,17,0,72,0.07,0.04,,
S01000429,110,"5,406",-0.85,59,40,82,0,69,0.07,0.05,,
S01000430,110,"5,386",-0.84,94,35,80,0,68,0.07,0,,
S01000431,110,"3,102",0.04,131,110,86,56,93,0.07,0,,
S01000432,110,"5,212",-0.75,77,60,38,67,69,0.07,0,,
S01000433,110,"4,497",-0.47,59,45,50,242,81,0.07,0.13,,
S01000434,110,"4,875",-0.61,72,65,64,0,77,0.07,0,,
S01000435,110,"5,888",-1.13,81,25,37,0,63,0.07,0.07,,
S01000436,110,"6,359",-1.61,60,10,10,40,57,0.07,0.03,,
S01000437,110,"4,341",-0.41,160,105,48,28,71,0.07,0,,
S01000438,110,"6,476",-1.98,39,20,4,0,50,0.07,0,,
S01000439,110,"5,456",-0.87,38,35,29,212,71,0.07,0.11,,
S01000440,110,"5,438",-0.86,40,50,66,0,72,0.06,0.06,,
S01000441,110,"3,774",-0.22,73,100,37,0,99,0.08,0.03,,
S01000442,110,"5,864",-1.11,60,40,24,28,65,0.06,0,,
S01000443,110,"6,479",-1.99,59,20,15,42,38,0.07,0,,
S01000444,110,"5,629",-0.96,32,85,47,31,63,0.07,0.03,,
S01000445,110,"5,008",-0.67,98,65,41,89,66,0.08,0.08,,
S01000446,110,"5,517",-0.91,91,45,36,24,64,0.08,0.03,,
S01000447,110,"5,177",-0.74,59,35,91,34,70,0.07,0.11,,
S01000448,110,"5,734",-1.03,54,35,40,0,69,0.07,0,,
S01000449,110,"4,136",-0.33,134,85,41,101,77,0.08,0,,
S01000450,110,"5,936",-1.17,57,40,34,79,57,0.08,0.04,,
S01000451,110,"4,564",-0.49,68,55,54,148,80,0.06,0.05,,
S01000452,110,"5,715",-1.02,56,60,58,192,56,0.08,0,,
S01000453,110,"6,070",-1.26,105,45,10,0,58,0.07,0.08,,
S01000454,110,"5,323",-0.80,97,35,58,0,70,0.08,0,,
S01000455,110,"3,989",-0.28,106,80,60,85,79,0.08,0.07,,
S01000456,110,"5,672",-0.99,63,50,22,0,67,0.08,0.07,,
S01000457,110,"4,153",-0.34,92,80,43,0,86,0.08,0.13,,
S01000458,110,"6,399",-1.70,29,35,13,28,50,0.07,0.04,,
S01000459,110,"3,235",0.00,94,85,85,296,90,0.08,0.06,,
S01000460,110,"3,385",-0.06,86,80,123,0,96,0.08,0.11,,
S01000461,110,"2,120",0.41,116,90,120,93,122,0.08,0,,
S01000462,110,"2,738",0.17,151,130,90,263,89,0.08,0,,
S01000463,110,"3,719",-0.19,108,65,124,0,88,0.08,0.04,,
S01000464,110,"6,098",-1.28,63,50,7,66,59,0.08,0,,
S01000465,110,"5,422",-0.86,81,40,44,0,69,0.08,0.04,,
S01000466,110,"6,259",-1.45,52,45,24,0,51,0.09,0.07,,
S01000467,110,"5,396",-0.84,85,85,62,32,59,0.08,0,,
S01000468,110,"6,384",-1.66,25,30,21,0,51,0.08,0.1,,
S01000469,110,"6,024",-1.23,53,35,28,0,62,0.08,0,,
S01000470,110,"4,741",-0.56,80,75,20,17,81,0.08,0.03,,
S01000471,110,"5,346",-0.82,78,35,12,61,76,0.1,0,,
S01000472,110,"3,984",-0.28,84,70,84,118,79,0.08,0.12,,
S01000473,110,"4,084",-0.31,109,60,76,0,86,0.08,0.04,,
S01000474,110,"5,357",-0.83,108,35,9,0,77,0.09,0.1,,
S01000475,110,"4,592",-0.50,90,85,56,0,77,0.08,0,,
S01000476,110,"5,525",-0.91,73,55,13,40,66,0.11,0.03,,
S01000477,110,"4,638",-0.52,96,65,51,0,79,0.08,0,,
S01000478,110,"3,436",-0.08,117,110,84,35,86,0.08,0.03,,
S01000479,110,"2,635",0.21,195,115,105,122,90,0.08,0.03,,
S01000480,110,"5,330",-0.81,61,70,88,0,61,0.11,0.1,,
S01000481,110,"5,087",-0.70,81,135,16,13,68,0.08,0.03,,
S01000482,110,"1,949",0.47,104,145,290,306,97,0.08,0.04,,
S01000483,110,"2,270",0.35,132,135,149,174,96,0.08,0.09,,
S01000484,110,"5,292",-0.79,81,70,57,115,61,0.08,0.02,,
S01000485,110,"5,490",-0.89,37,75,26,24,69,0.08,0.04,,
S01000486,110,914,0.95,215,155,314,187,124,0.08,0.02,,
S01000487,110,"3,993",-0.28,138,110,75,0,76,0.08,0.06,,
S01000488,110,"2,861",0.13,101,120,85,47,102,0.08,0,,
S01000489,110,"2,801",0.15,89,195,107,110,86,0.08,0.09,,
S01000490,110,"6,257",-1.44,82,25,17,0,55,0.08,0.04,,
S01000491,110,"1,733",0.56,134,95,191,202,120,0.08,0,,
S01000492,110,"2,020",0.44,100,105,191,80,112,0.08,0.16,,
S01000493,110,"3,471",-0.09,128,70,48,0,100,0.09,0.04,,
S01000494,110,"3,671",-0.17,120,80,110,44,78,0.08,0.16,,
S01000495,110,"5,494",-0.90,125,80,14,0,64,0.08,0.03,,
S01000496,110,"6,414",-1.75,65,25,0,0,54,0.08,0.08,,
S01000497,110,"4,850",-0.60,66,70,28,0,79,0.1,0.04,,
S01000498,110,"4,615",-0.51,73,30,73,188,77,0.11,0,,
S01000499,110,"5,425",-0.86,67,85,38,0,61,0.11,0.12,,
S01000500,110,"3,447",-0.08,75,65,46,0,110,0.11,0.03,,
S01000501,110,"4,959",-0.64,59,85,46,51,67,0.11,0.05,,
S01000502,110,"5,255",-0.77,24,50,41,155,74,0.09,0,,
S01000503,110,"3,851",-0.24,112,45,36,52,92,0.1,0.06,,
S01000504,110,"2,596",0.22,108,75,72,28,117,0.1,0.05,,
S01000505,110,"5,088",-0.70,121,50,20,34,69,0.1,0.06,,
S01000506,110,"4,919",-0.63,129,50,11,0,80,0.1,0.04,,
S01000507,110,"2,309",0.34,100,110,79,72,116,0.1,0.04,,
S01000508,110,"5,620",-0.96,47,65,12,0,72,0.1,0,,
S01000509,110,"4,359",-0.42,104,95,13,0,88,0.1,0,,
S01000510,110,"2,627",0.21,89,60,113,41,117,0.1,0.03,,
S01000511,110,"6,096",-1.28,84,35,11,0,59,0.11,0,,
S01000512,110,"3,826",-0.23,70,45,57,78,92,0.1,0.14,,
S01000513,110,"3,256",-0.01,112,100,97,286,79,0.11,0.07,,
S01000514,110,"4,296",-0.39,73,70,22,0,95,0.1,0,,
S01000515,110,"5,445",-0.87,80,50,18,113,65,0.1,0.04,,
S01000516,110,"4,819",-0.59,97,75,57,24,69,0.08,0.05,,
S01000517,110,"5,012",-0.67,87,70,22,37,69,0.1,0.13,,
S01000518,110,"3,084",0.05,92,95,72,81,96,0.09,0.12,,
S01000519,110,"5,115",-0.71,48,30,36,0,85,0.09,0.08,,
S01000520,110,"5,551",-0.93,65,85,29,0,62,0.11,0,,
S01000521,110,"2,161",0.39,95,130,121,111,112,0.09,0.05,,
S01000522,110,"4,381",-0.42,70,50,38,123,86,0.09,0,,
S01000523,110,"4,620",-0.51,123,120,41,129,64,0.08,0.05,,
S01000524,110,"4,174",-0.34,88,70,46,79,83,0.09,0,,
S01000525,110,"5,383",-0.84,83,110,29,30,58,0.12,0,,
S01000526,110,"4,173",-0.34,146,80,17,0,85,0.11,0.03,,
S01000527,110,"5,439",-0.87,66,50,50,0,68,0.09,0,,
S01000528,110,"6,302",-1.52,32,90,34,0,43,0.11,0.07,,
S01000529,110,"3,821",-0.23,57,80,38,38,96,0.1,0.03,,
S01000530,110,"5,736",-1.03,66,45,16,48,65,0.09,0,,
S01000531,110,"4,521",-0.48,59,65,69,0,84,0.09,0,,
S01000532,110,"2,384",0.31,247,125,97,148,89,0.1,0.05,,
S01000533,110,"2,824",0.14,102,90,70,249,100,0.09,0.05,,
S01000534,110,"2,854",0.13,123,95,115,235,85,0.1,0.18,,
S01000535,110,"3,522",-0.11,116,105,56,0,88,0.11,0.06,,
S01000536,110,"4,024",-0.29,70,55,16,0,99,0.14,0.16,,
S01000537,110,"4,108",-0.32,77,85,43,103,81,0.1,0.03,,
S01000538,110,"4,079",-0.31,109,80,71,71,74,0.1,0.07,,
S01000539,110,"3,995",-0.28,79,145,76,143,71,0.1,0,,
S01000540,110,"3,270",-0.02,97,80,96,316,86,0.11,0,,
S01000541,110,"2,346",0.32,108,60,165,85,112,0.1,0.08,,
S01000542,110,"2,903",0.11,77,65,66,472,100,0.11,0.12,,
S01000543,110,"3,947",-0.27,86,70,126,198,74,0.1,0.04,,
S01000544,110,"3,994",-0.28,71,70,36,160,87,0.1,0.04,,
S01000545,110,"4,070",-0.31,104,90,65,31,74,0.11,0.1,,
S01000546,110,"3,138",0.03,77,95,152,31,91,0.11,0.04,,
S01000547,110,"3,831",-0.23,110,70,60,0,90,0.1,0,,
S01000548,110,"3,737",-0.20,92,150,69,0,78,0.11,0.05,,
S01000549,110,"5,193",-0.75,179,110,18,40,58,0.1,0,,
S01000550,110,"6,372",-1.63,35,15,6,174,54,0.1,0.06,,
S01000551,110,"2,649",0.21,123,105,128,0,95,0.15,0.04,,
S01000552,110,"5,837",-1.10,43,35,43,173,59,0.1,0,,
S01000553,110,"5,360",-0.83,76,70,35,26,63,0.1,0.05,,
S01000554,110,"4,123",-0.33,75,90,33,54,83,0.1,0.07,,
S01000555,110,"3,650",-0.16,95,115,35,60,79,0.15,0.07,,
S01000556,110,"2,240",0.36,76,115,122,368,109,0.1,0.03,,
S01000557,110,"3,096",0.04,90,90,43,136,102,0.1,0.04,,
S01000558,110,"3,273",-0.02,113,75,115,204,83,0.1,0.1,,
S01000559,110,"2,895",0.11,117,105,75,111,94,0.1,0.04,,
S01000560,110,"1,951",0.47,135,140,149,82,106,0.1,0.05,,
S01000561,110,"1,663",0.59,103,155,196,107,110,0.1,0.14,,
S01000562,110,"1,579",0.63,129,150,173,371,108,0.1,0.05,,
S01000563,110,668,1.10,186,160,245,432,133,0.1,0.05,,
S01000564,110,928,0.94,114,175,261,743,120,0.1,0.1,,
S01000565,110,"3,116",0.04,105,75,118,133,89,0.1,0.1,,
S01000566,110,"3,224",0.00,99,95,86,0,100,0.1,0,,
S01000567,110,"3,279",-0.02,102,120,48,67,89,0.1,0.11,,
S01000568,110,"4,880",-0.61,93,60,34,45,70,0.1,0.07,,
S01000569,120,"3,673",-0.17,87,65,52,40,91,0.11,0.06,,
S01000570,120,"4,404",-0.43,59,90,24,0,89,0.11,0,,
S01000571,120,"1,902",0.49,110,150,38,0,133,0.11,0.13,,
S01000572,120,"4,670",-0.53,64,60,27,0,86,0.11,0,,
S01000573,120,"5,868",-1.12,69,35,10,0,66,0.11,0.06,,
S01000574,120,"4,608",-0.51,97,90,11,0,84,0.11,0,,
S01000575,120,"4,163",-0.34,83,80,15,0,97,0.11,0,,
S01000576,120,"4,575",-0.49,66,50,70,0,82,0.11,0,,
S01000577,120,"3,608",-0.14,118,65,29,0,103,0.11,0,,
S01000578,120,"4,095",-0.32,66,45,64,144,85,0.11,0.05,,
S01000579,120,"4,884",-0.62,299,50,15,0,68,0.11,0.11,,
S01000580,120,"6,251",-1.44,50,45,19,0,53,0.09,0.06,,
S01000581,120,"3,688",-0.18,77,45,52,92,97,0.1,0.07,,
S01000582,120,"4,026",-0.29,59,65,71,0,93,0.09,0.08,,
S01000583,120,"4,883",-0.61,66,50,52,0,79,0.09,0.03,,
S01000584,120,"3,223",0.00,77,100,39,68,106,0.09,0.02,,
S01000585,120,"2,910",0.11,102,120,68,25,104,0.09,0,,
S01000586,120,"3,692",-0.18,73,70,84,79,89,0.09,0.05,,
S01000587,120,"3,021",0.07,103,90,62,142,97,0.09,0.08,,
S01000588,120,"5,019",-0.67,102,55,10,43,76,0.09,0.11,,
S01000589,120,"4,277",-0.38,95,55,75,0,85,0.09,0,,
S01000590,120,"4,110",-0.32,106,95,12,85,89,0.09,0,,
S01000591,120,"4,152",-0.34,57,80,7,0,114,0.09,0.03,,
S01000592,120,"5,183",-0.75,84,90,11,38,70,0.09,0.04,,
S01000593,120,"4,938",-0.64,49,85,77,0,72,0.09,0.03,,
S01000594,120,"4,996",-0.66,97,105,13,0,71,0.11,0.04,,
S01000595,120,"4,854",-0.60,68,65,30,0,79,0.09,0.08,,
S01000596,120,"5,483",-0.89,45,55,24,39,69,0.09,0.05,,
S01000597,120,"5,262",-0.77,84,60,14,27,71,0.09,0.09,,
S01000598,120,"4,305",-0.40,54,60,18,21,94,0.12,0.06,,
S01000599,120,"4,654",-0.53,67,95,11,24,86,0.08,0.05,,
S01000600,120,"5,003",-0.66,76,65,15,31,73,0.12,0.08,,
S01000601,120,"5,261",-0.77,71,70,30,22,66,0.1,0.09,,
S01000602,120,"3,417",-0.07,103,85,34,34,94,0.13,0.04,,
S01000603,120,"4,528",-0.48,69,65,12,29,92,0.1,0,,
S01000604,120,"4,470",-0.46,113,90,28,0,76,0.11,0.05,,
S01000605,120,"5,583",-0.94,86,100,8,0,63,0.11,0.06,,
S01000606,120,"1,288",0.75,172,145,98,106,126,0.11,0.07,,
S01000607,120,"5,268",-0.78,63,60,24,90,68,0.11,0,,
S01000608,120,"1,538",0.64,115,175,113,191,115,0.11,0.09,,
S01000609,120,"2,052",0.43,86,165,55,123,118,0.11,0.01,,
S01000610,120,"1,821",0.52,101,125,166,171,111,0.11,0.06,,
S01000611,120,"3,432",-0.07,116,85,63,44,87,0.11,0.06,,
S01000612,120,"1,767",0.54,108,165,104,121,116,0.11,0,,
S01000613,120,"3,922",-0.26,97,140,29,0,84,0.11,0,,
S01000614,120,"4,438",-0.44,99,80,43,0,81,0.08,0.03,,
S01000615,120,"1,136",0.82,160,185,126,148,123,0.11,0.03,,
S01000616,120,"3,466",-0.09,99,80,57,0,98,0.11,0.02,,
S01000617,120,"4,364",-0.42,75,65,25,59,82,0.11,0.09,,
S01000618,120,"4,781",-0.58,57,115,12,0,81,0.11,0.04,,
S01000619,120,"5,150",-0.73,53,55,49,42,68,0.11,0.06,,
S01000620,120,777,1.02,127,180,125,212,144,0.11,0.07,,
S01000621,120,"3,392",-0.06,81,150,82,25,85,0.11,0,,
S01000622,120,"1,814",0.52,94,75,133,38,131,0.11,0.13,,
S01000623,120,"2,920",0.10,111,100,52,77,101,0.11,0,,
S01000624,120,"3,812",-0.23,125,60,30,0,92,0.11,0.09,,
S01000625,120,"1,462",0.67,92,90,104,231,141,0.11,0.03,,
S01000626,120,"2,187",0.38,98,120,84,36,115,0.11,0.13,,
S01000627,120,"3,776",-0.22,77,85,99,177,78,0.11,0,,
S01000628,120,"3,074",0.05,60,65,129,260,96,0.11,0.06,,
S01000629,120,"4,137",-0.33,151,85,43,0,76,0.11,0.07,,
S01000630,120,"3,512",-0.11,83,90,58,0,95,0.11,0.09,,
S01000631,120,"3,127",0.03,93,90,84,380,87,0.11,0.04,,
S01000632,120,"4,322",-0.40,73,55,19,0,98,0.11,0,,
S01000633,120,"5,411",-0.85,93,40,21,72,66,0.11,0,,
S01000634,120,"3,973",-0.28,72,95,37,36,86,0.11,0.02,,
S01000635,120,"4,459",-0.45,96,75,10,41,85,0.11,0.03,,
S01000636,120,"5,312",-0.80,50,40,11,0,86,0.09,0.06,,
S01000637,120,"5,997",-1.21,47,45,17,38,57,0.11,0.11,,
S01000638,120,"4,621",-0.51,100,45,54,0,79,0.11,0,,
S01000639,120,"4,671",-0.53,74,50,19,45,83,0.09,0.15,,
S01000640,120,"4,721",-0.55,82,60,19,0,86,0.1,0,,
S01000641,120,"3,088",0.05,91,75,123,0,106,0.1,0,,
S01000642,120,"5,896",-1.14,73,80,7,0,60,0.11,0.03,,
S01000643,120,"5,798",-1.07,50,45,24,0,65,0.11,0,,
S01000644,120,"5,114",-0.71,70,55,69,0,70,0.1,0,,
S01000645,120,"3,794",-0.22,86,105,13,0,100,0.11,0.05,,
S01000646,120,"4,374",-0.42,91,60,14,75,87,0.1,0.05,,
S01000647,120,"3,927",-0.26,85,75,24,72,89,0.1,0.12,,
S01000648,120,"2,054",0.43,147,115,72,232,111,0.1,0.03,,
S01000649,120,"5,602",-0.95,89,50,5,0,72,0.09,0.08,,
S01000650,120,"4,518",-0.47,74,65,33,0,85,0.1,0.04,,
S01000651,120,"2,552",0.24,123,130,95,99,95,0.1,0.07,,
S01000652,120,"4,333",-0.41,108,90,4,303,85,0.1,0,,
S01000653,120,"2,074",0.42,103,150,131,26,110,0.1,0.09,,
S01000654,120,"2,306",0.34,105,125,23,116,126,0.1,0.02,,
S01000655,120,"2,928",0.10,66,120,24,316,109,0.1,0.04,,
S01000656,120,"3,063",0.05,97,95,57,26,104,0.1,0.03,,
S01000657,120,"2,267",0.35,104,145,26,165,118,0.1,0.08,,
S01000658,120,"2,262",0.35,128,65,128,303,111,0.1,0,,
S01000659,120,"4,093",-0.32,86,135,26,0,82,0.1,0.11,,
S01000660,120,"4,725",-0.55,116,85,14,33,74,0.1,0.04,,
S01000661,120,"3,439",-0.08,74,85,86,0,95,0.1,0.19,,
S01000662,120,"5,388",-0.84,71,70,0,0,84,0.1,0,,
S01000663,120,"4,195",-0.35,122,60,64,0,82,0.1,0,,
S01000664,120,"5,299",-0.79,76,80,18,0,69,0.11,0.03,,
S01000665,120,"4,979",-0.66,55,80,21,0,80,0.1,0,,
S01000666,120,"5,954",-1.18,46,55,5,0,67,0.09,0.08,,
S01000667,120,"4,269",-0.38,110,100,26,82,76,0.09,0.06,,
S01000668,120,"2,849",0.13,87,120,97,0,106,0.09,0.07,,
S01000669,120,"2,436",0.29,109,130,77,108,105,0.09,0.1,,
S01000670,120,"5,117",-0.72,76,50,36,0,76,0.09,0,,
S01000671,120,"4,451",-0.45,120,75,49,123,68,0.09,0.18,,
S01000672,120,"5,166",-0.74,46,55,70,0,73,0.09,0.03,,
S01000673,120,"5,235",-0.76,67,55,33,46,70,0.09,0,,
S01000674,120,"3,473",-0.09,87,90,38,89,95,0.1,0.03,,
S01000675,120,"6,240",-1.42,62,40,8,0,55,0.09,0.19,,
S01000676,120,"5,716",-1.02,102,40,18,0,62,0.09,0.21,,
S01000677,120,"3,346",-0.04,93,90,51,188,89,0.11,0.07,,
S01000678,120,"4,791",-0.58,84,70,25,59,73,0.1,0.06,,
S01000679,120,"2,280",0.35,109,95,97,179,109,0.1,0.11,,
S01000680,120,"2,658",0.20,96,155,77,197,94,0.1,0.02,,
S01000681,120,"1,727",0.56,129,125,141,138,116,0.1,0.05,,
S01000682,120,"2,889",0.12,158,115,52,27,96,0.1,0.03,,
S01000683,120,"4,388",-0.42,87,45,49,132,78,0.1,0.08,,
S01000684,120,"2,415",0.29,95,140,86,108,104,0.1,0.07,,
S01000685,120,"3,943",-0.27,107,95,53,66,77,0.1,0.06,,
S01000686,120,"3,051",0.06,108,85,39,68,103,0.1,0.09,,
S01000687,120,"2,833",0.13,105,120,91,138,91,0.1,0.07,,
S01000688,120,"4,773",-0.57,107,65,39,0,73,0.1,0.06,,
S01000689,120,"5,368",-0.83,53,70,23,0,72,0.1,0,,
S01000690,120,"5,119",-0.72,87,45,27,128,69,0.1,0.03,,
S01000691,120,"3,860",-0.24,80,80,59,66,86,0.1,0,,
S01000692,120,"2,289",0.34,137,90,59,147,111,0.11,0.08,,
S01000693,120,"2,283",0.35,84,155,95,150,105,0.11,0.03,,
S01000694,120,"3,166",0.02,122,90,78,33,93,0.1,0.03,,
S01000695,120,"4,461",-0.45,92,65,54,0,78,0.11,0.03,,
S01000696,120,"3,169",0.02,94,115,31,0,106,0.11,0.08,,
S01000697,120,"4,886",-0.62,52,50,33,0,83,0.1,0.07,,
S01000698,120,"4,516",-0.47,72,50,55,76,75,0.11,0.13,,
S01000699,120,"3,136",0.03,224,80,46,0,91,0.11,0.17,,
S01000700,120,"4,523",-0.48,70,65,41,31,79,0.1,0.06,,
S01000701,120,"4,739",-0.56,109,100,28,0,70,0.11,0.05,,
S01000702,120,"5,474",-0.89,95,30,17,0,73,0.11,0,,
S01000703,120,"4,385",-0.42,77,75,18,0,89,0.11,0.07,,
S01000704,120,"5,045",-0.68,99,50,31,45,69,0.1,0.05,,
S01000705,120,"5,580",-0.94,81,80,25,0,62,0.1,0,,
S01000706,120,"6,326",-1.55,50,45,11,63,47,0.11,0.06,,
S01000707,120,"4,623",-0.51,77,30,106,0,83,0.1,0,,
S01000708,120,"5,914",-1.15,57,35,10,0,69,0.08,0.07,,
S01000709,120,"3,986",-0.28,106,130,40,0,78,0.1,0.13,,
S01000710,120,"5,816",-1.08,95,55,13,0,62,0.09,0.02,,
S01000711,130,"5,157",-0.73,74,65,45,0,73,0.07,0,,
S01000712,130,"2,383",0.31,107,75,110,0,124,0.1,0.05,,
S01000713,130,"2,659",0.20,95,100,121,113,100,0.1,0.04,,
S01000714,130,"3,791",-0.22,74,100,52,0,91,0.1,0.04,,
S01000715,130,894,0.96,135,120,224,142,146,0.1,0,,
S01000716,130,660,1.11,135,135,492,176,138,0.1,0.04,,
S01000717,130,694,1.08,135,150,350,0,152,0.1,0.07,,
S01000718,130,"1,607",0.61,108,125,230,82,118,0.1,0.06,,
S01000719,130,"3,917",-0.26,79,80,90,0,85,0.1,0.07,,
S01000720,130,"4,831",-0.59,48,115,41,0,73,0.09,0.14,,
S01000721,130,"3,848",-0.24,86,85,60,47,87,0.07,0.06,,
S01000722,130,"1,881",0.50,113,90,179,36,122,0.1,0.04,,
S01000723,130,"6,023",-1.23,53,55,35,0,56,0.1,0,,
S01000724,130,"2,611",0.22,114,135,122,0,99,0.1,0.11,,
S01000725,130,"4,664",-0.53,60,60,54,218,74,0.08,0.06,,
S01000726,130,"4,626",-0.51,76,80,46,0,77,0.11,0,,
S01000727,130,"2,739",0.17,147,90,98,91,92,0.11,0.06,,
S01000728,130,"5,050",-0.69,61,75,29,0,73,0.11,0.05,,
S01000729,130,"3,951",-0.27,67,70,109,71,81,0.11,0,,
S01000730,130,"4,873",-0.61,75,50,105,0,71,0.11,0,,
S01000731,130,"2,098",0.42,104,110,216,0,114,0.11,0.04,,
S01000732,130,981,0.91,196,130,229,40,131,0.11,0.06,,
S01000733,130,"1,169",0.81,151,150,161,189,120,0.11,0.15,,
S01000734,130,"5,025",-0.67,83,85,34,0,67,0.11,0.14,,
S01000735,130,"3,657",-0.17,110,60,167,0,84,0.11,0,,
S01000736,130,"3,297",-0.02,114,105,130,0,86,0.11,0.04,,
S01000737,130,"4,542",-0.49,91,70,61,0,76,0.11,0,,
S01000738,130,"5,354",-0.82,50,55,70,0,70,0.08,0,,
S01000739,130,"4,429",-0.44,98,80,147,32,68,0.08,0.05,,
S01000740,130,"2,619",0.22,72,90,141,84,111,0.09,0,,
S01000741,130,"2,435",0.29,84,120,123,105,101,0.12,0.07,,
S01000742,130,"4,366",-0.42,72,65,52,0,81,0.12,0.08,,
S01000743,130,"2,857",0.13,151,110,109,47,87,0.12,0,,
S01000744,130,"1,569",0.63,78,105,260,177,123,0.12,0,,
S01000745,130,"2,263",0.35,75,80,136,94,116,0.12,0.07,,
S01000746,130,730,1.06,122,115,314,233,144,0.12,0.03,,
S01000747,130,"1,787",0.53,53,100,390,238,111,0.11,0.1,,
S01000748,130,167,1.66,218,125,509,127,178,0.12,0.06,,
